GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
movie-theater,com.jpmc.theater,Movie,29,142,6,20,1,33,7,14,1,7
movie-theater,com.jpmc.theater,LocalDateProvider,0,7,0,0,0,3,0,3,0,3
movie-theater,com.jpmc.theater,Reservation,0,22,0,0,0,7,0,2,0,2
movie-theater,com.jpmc.theater,Theater,27,285,3,3,8,38,5,9,2,9
movie-theater,com.jpmc.theater,Customer,6,50,2,6,1,9,3,5,1,3
movie-theater,com.jpmc.theater,Showing,25,116,2,0,5,27,3,7,2,7
movie-theater,com.jpmc.theater,LocalDateProvider.InstanceHolder,0,5,0,0,0,1,0,1,0,1
movie-theater,com.jpmc.theater.utils,TimeUtil,3,44,0,2,1,6,1,3,1,2
movie-theater,com.jpmc.theater.utils,SpecialCode,3,42,0,0,1,8,1,3,1,3
movie-theater,com.jpmc.theater.utils,GlobalVariables,3,0,0,0,1,0,1,0,1,0
movie-theater,com.jpmc.theater.utils,SequenceDiscount,0,45,0,0,0,9,0,4,0,4
